Proximity,City,Year,Last,First
Coastal,Erie Airport,1963,144,329
Coastal,Painesville,2016,104,328
Coastal,North East,2016,118,328
Coastal,Painesville,2015,94,327
Coastal,North East,1994,112,327
Coastal,Erie Airport,1994,113,327
Coastal,Sandusky,1998,83,326
Coastal,Painesville,1958,100,326
Coastal,Painesville,1998,101,326
Coastal,Sandusky,2015,114,326
Coastal,Erie Airport,2015,118,326
Coastal,Sandusky,1985,99,325
Coastal,Sandusky,2016,101,325
Coastal,Painesville,1964,116,324
Coastal,Sandusky,2007,100,323
Coastal,Painesville,2005,93,321
Coastal,North East,2005,104,321
Coastal,Sandusky,1970,101,320
Coastal,Sandusky,2000,101,320
Coastal,Erie Airport,2005,104,320
Coastal,Painesville,2000,104,320
Coastal,North East,1999,115,320
Coastal,Erie Airport,1999,115,320
Coastal,Buffalo,2005,119,320
Coastal,Sandusky,2004,119,320
Coastal,Painesville,1970,127,320
Coastal,Sandusky,1968,98,318
Coastal,Sandusky,1956,100,318
Coastal,Erie Airport,1969,121,318
Coastal,Erie Airport,2016,105,317
Coastal,Sandusky,2014,106,317
Coastal,Sandusky,2001,107,317
Coastal,North East,2014,114,317
Coastal,Erie Airport,2014,114,317
Coastal,Painesville,2014,114,317
Coastal,Painesville,1963,144,317
Coastal,Painesville,1997,110,316
Coastal,Painesville,2009,113,316
Coastal,Sandusky,2005,115,316
Coastal,Cleveland,1977,128,316
Coastal,North East,1963,144,316
Coastal,North East,2007,105,315
Coastal,Painesville,2004,106,315
Coastal,Sandusky,1990,109,315
Coastal,Painesville,1994,113,315
Coastal,Cleveland,2005,114,315
Inland,Akron,1977,119,315
Coastal,Painesville,1977,119,315
Coastal,Cleveland,1994,122,315
Coastal,Painesville,1956,146,315
Coastal,Sandusky,2017,82,314
Coastal,Painesville,2017,82,314
Coastal,North East,2017,97,314
Coastal,North East,1996,99,314
Coastal,Erie Airport,1950,112,314
Coastal,Painesville,1950,112,314
Coastal,North East,2004,119,314
Coastal,North East,2018,120,314
Coastal,Erie Airport,2004,125,314
Coastal,Cleveland,2004,125,314
Inland,Franklin,2004,127,314
Coastal,Painesville,1990,103,313
Coastal,Painesville,2003,117,313
Coastal,Buffalo,2004,119,313
Coastal,North East,1961,125,313
Inland,Jamestown,2004,126,313
Coastal,Erie Airport,2017,129,313
Coastal,Sandusky,2012,87,312
Coastal,Cleveland,2017,98,312
Coastal,Erie Airport,1992,106,312
Coastal,Painesville,1992,106,312
Coastal,North East,2003,114,312
Coastal,Erie Airport,2003,117,312
Coastal,Cleveland,2003,117,312
Coastal,Erie Airport,1960,120,312
Coastal,Erie Airport,1961,122,312
Coastal,Painesville,1961,125,312
Inland,Akron,1970,127,312
Coastal,North East,1970,127,312
Coastal,Erie Airport,1970,127,312
Coastal,Cleveland,1970,127,312
Coastal,Cleveland,1985,129,312
Coastal,Sandusky,2011,90,311
Coastal,Buffalo,2017,98,311
Coastal,Sandusky,2003,99,311
Inland,Akron,1994,113,311
Coastal,Buffalo,1971,114,311
Coastal,Erie Airport,1971,117,311
Coastal,North East,1960,120,311
Coastal,North East,2012,120,311
Coastal,Erie Airport,2012,120,311
Coastal,Cleveland,1958,120,311
Coastal,Cleveland,2012,120,311
Coastal,Sandusky,1958,120,311
Coastal,Painesville,2012,120,311
Inland,Akron,1961,147,311
Coastal,Sandusky,2009,97,310
Coastal,Painesville,1973,104,310
Coastal,Sandusky,1973,105,310
Coastal,Sandusky,1953,111,310
Coastal,North East,1973,115,310
Coastal,Erie Airport,1973,115,310
Coastal,Painesville,2001,119,310
Coastal,Erie Airport,1997,127,310
Inland,Warren (PA),1973,139,310
Inland,Franklin,1973,140,310
Coastal,Buffalo,1973,105,309
Coastal,Painesville,1953,111,309
Coastal,Cleveland,1950,112,309
Coastal,Sandusky,1950,112,309
